Job Code,JobID,Job Name,Responsibility Name,Responsibility Description,Responsibility Level,Responsibility Level Description,Responsibility ID
JOB-T02,1077103,Elementary School Teacher ABC,Administration,"Develop administrative processes, provide administrative support and process data to allow for the efficient running of the business.",2,"Conduct data entry into company systems, and review and verify the information to ensure accuracy and accessibility.",765707
JOB-T02,1077103,Elementary School Teacher ABC,Document Management,Create document management systems and maintain document records.,2,Maintain files and records.,765983
JOB-T02,1077103,Elementary School Teacher ABC,Document Preparation,"Prepare written documents for both internal and external audiences, in line with the organization's desired positioning and brand image.",2,"Use standard office software to carry out basic formatting of letters, memoranda, and routine reports.",765705
JOB-T02,1077103,Elementary School Teacher ABC,Work Scheduling and Allocation,Plan and organize own work and that of the team to ensure the achievement of personal and team goals.,2,Organize own work schedule each day in line with changing priorities.,765908
JOB-T02,1077103,Elementary School Teacher ABC,Operations Management,Execute and manage production or operations using predetermined protocols and procedures to achieve specified operational performance standards.,2,Carry out operational tasks by following established processes. May involve adjusting basic settings or parameters in order to meet performance standards.,765868
JOB-T02,1077103,Elementary School Teacher ABC,Internal Client Relationship Management,"Develop effective working relationships with clients within the organization, building high levels of professional credibility and mutual trust, and ensuring that internal clients have access to high-quality advice and guidance to support them in delivering their business strategy and plans.",2,Ensure a positive experience for internal clients by having courteous interactions with them.,765837
JOB-T02,1077103,Elementary School Teacher ABC,Operational Compliance,"Adhere to internal policies and procedures and external standards, including regulatory codes and voluntary codes of conduct, to minimize business risk and protect the organization's reputation.",2,Follow a range of mandatory procedures to ensure that work is carried out to the required quality standards and/or to ensure adherence to external regulatory codes and internal codes of conduct.,765980
JOB-T02,1077103,Elementary School Teacher ABC,Data Collection and Analysis,"Collect and analyze data, produce reports, identify impact from reports, and make recommendations.",2,"Perform basic data entry tasks, including data verification.",765719
JOB-T02,1077103,Elementary School Teacher ABC,Personal Capability Building,"Develop personal skills, knowledge, technical competencies, and behavioral competencies to ensure that they are relevant to current and future role or organizational requirements, to enhance personal performance, to support innovation and new developments, and to fulfill personal potential.",2,Develop and maintain excellent procedural or technical skills by participating in assessment and development planning activities as well as formal and informal training and coaching.,765919
JOB-T03,1077110,Secondary School Teacher ABC,Prepare Lessons,"Develop schemes of work and lesson plans and plan, prepare, assess, and reflect on lessons in line with the curriculum objectives.",6,"Develop schemes of work and lesson plans and plan, prepare, assess, and reflect on lessons in line with the curriculum objectives primarily in secondary education.",766243
JOB-T03,1077110,Secondary School Teacher ABC,Teach,"Deliver lessons to (classes of) students. Engage students in learning to enable their understanding and application of knowledge, concepts and processes. Use proven teaching methods to get students involved in the active construction of knowledge using knowledge of subject matter  to transmit information and to transform students into active learners. From passive recipients of other people's knowledge into active constructors of their own and others' knowledge by creating the pedagogical, social, and ethical conditions under which students agree to take charge of their own learning, individually and collectively.",6,"Deliver lessons to (classes of) students primarily in secondary education. Engage students in learning to enable their understanding and application of knowledge, concepts and processes. Use proven teaching methods to get students involved in the active construction of knowledge using knowledge of subject matter  to transmit information and to transform students into active learners.",766242
JOB-T03,1077110,Secondary School Teacher ABC,Record Student Progress,"Mark work, give appropriate feedback, observe, and record pupils' progress and development. Provide feedback to parents and carers on a pupil's progress at parents' evenings and other meetings.",6,"Mark work, give appropriate feedback, observe, and record pupils' progress and development. Provide feedback to parents and carers on a pupil's progress at parents' evenings and other meetings. Primarily in higher secondary or tertiary education.",766245
JOB-T03,1077110,Secondary School Teacher ABC,Classroom Management,Develop and implement strategies for classroom management to realize a safe and effective learning environment.,6,"Coordinate the implementation of diverse classroom management strategies, ensuring a safe and effective learning environment.",766341
JOB-T03,1077110,Secondary School Teacher ABC,Educational Program Evaluation,Develop evaluation tools and conduct program evaluations to determine the effectiveness of educational services.,6,Oversee the implementation of diverse evaluation measures for educational programs.,766342
JOB-T03,1077110,Secondary School Teacher ABC,Work Scheduling and Allocation,Plan and organize own work and that of the team to ensure the achievement of personal and team goals.,5,Assign short-term work schedules to a team of subordinates in order to achieve expectations while following established timelines.,765908
JOB-T03,1077110,Secondary School Teacher ABC,Design Curriculum,"Develop, design, and improve the curriculum, select content, assess the program and reflect.",6,"Develop, design, and improve the curriculum, select content, assess the program and reflect primarily in higher secondary or tertiary education.",766244
JOB-T03,1077110,Secondary School Teacher ABC,Operational Compliance,"Adhere to internal policies and procedures and external standards, including regulatory codes and voluntary codes of conduct, to minimize business risk and protect the organization's reputation.",5,"Identify, within the team, instances of noncompliance with the organization's policies and procedures and/or relevant regulatory codes and codes of conduct, reporting these instances and escalating issues as appropriate.",765980
JOB-T03,1077110,Secondary School Teacher ABC,Personal Capability Building,"Develop personal skills, knowledge, technical competencies, and behavioral competencies to ensure that they are relevant to current and future role or organizational requirements, to enhance personal performance, to support innovation and new developments, and to fulfill personal potential.",5,"Develop own capabilities by participating in assessment and development planning activities as well as formal and informal training and coaching; gain or maintain external professional accreditation, where relevant, to improve performance and fulfill personal potential. Maintain an understanding of relevant technology, external regulation, and industry best practices through ongoing education, attending conferences, and reading specialist media.",765919
