Job Code,JobID,Job Name,Skill Name,Skill Description,Skill Level,Skill Level Description,Skill Components,Skill ID
JOB-T02,1077103,Elementary School Teacher ABC,Verbal Communication,"Ability to express ideas, request actions, formulate plans, & policies by means of clear and effective verbal communications.",1,"Uses clear and effective elementary verbal communications skills under supervision to express ideas, request actions and formulate plans or policies.",NULL,766432
JOB-T02,1077103,Elementary School Teacher ABC,Computer Skills,The ability and skill to understand and effectively use standard office equipment and standard software packages to support business processes.,1,Supports business processes under supervision by applying an elementary understanding and effective use of standard office equipment and standard software packages.,NULL,766486
JOB-T02,1077103,Elementary School Teacher ABC,Planning and Organizing,"Ability to plan, organize, prioritize and oversee activities to efficiently meet objectives.",2,"Works with guidance (but not constant supervision) to plan, organize, prioritize and oversee activities to efficiently meet business objectives.",NULL,766493
JOB-T02,1077103,Elementary School Teacher ABC,Action Planning,The ability to review and evaluate recommendations and requirements and to develop appropriate plans or deliver actions required.,2,Works with guidance (but not constant supervision) to develop appropriate plans or perform necessary actions based on recommendations and requirements.,NULL,766512
JOB-T02,1077103,Elementary School Teacher ABC,Policy and procedures,"The ability and skill to monitor, interpret and understand policies and procedures and ensure their alignment with organizational strategies and work objectives.",2,"Works with guidance (but not constant supervision) to develop, monitor, interpret and understand policies and procedures, while making sure they match organizational strategies and objectives.",NULL,766597
JOB-T02,1077103,Elementary School Teacher ABC,Numerical Skills,The ability and skill to understand numerical concepts and use them to carry out mathematical operations e.g. in order to analyze reports.,1,Uses an elementary understanding of numerical concepts to perform mathematical operations such as report analysis under supervision.,NULL,766492
JOB-T02,1077103,Elementary School Teacher ABC,Office Systems,The ability and skill to select and deploy the appropriate office system and to use it to optimum effect.,1,"Works at an elementary level under supervision to select, deploy and get the best results from the most appropriate office system.",NULL,766396
JOB-T03,1077110,Secondary School Teacher ABC,Verbal Communication,"Ability to express ideas, request actions, formulate plans, & policies by means of clear and effective verbal communications.",3,"Uses clear and effective verbal communications skills without supervision and provides technical guidance when required on expressing ideas, requesting actions and formulating plans or policies.",NULL,766432
JOB-T03,1077110,Secondary School Teacher ABC,Learning and Talent Development,"The ability and skill to ensure that people at all levels in the organization possess and develop the skills knowledge and experiences needed to fulfill the short and long term ambitions of the organization and that they are motivated to learn, grow and develop.",3,"Works without supervision and provides technical guidance when required on motivating all employees to learn, grow and develop so that they can obtain the knowledge and experience they need to help the organization reach its goals.",NULL,766516
JOB-T03,1077110,Secondary School Teacher ABC,Planning and Organizing,"Ability to plan, organize, prioritize and oversee activities to efficiently meet objectives.",3,"Works without supervision and provides technical guidance when required on planning, organizing, prioritizing and overseeing activities to efficiently meet business objectives.",NULL,766493
JOB-T03,1077110,Secondary School Teacher ABC,Action Planning,The ability to review and evaluate recommendations and requirements and to develop appropriate plans or deliver actions required.,3,Works without supervision and provides technical guidance when required on developing appropriate plans or performing necessary actions based on recommendations and requirements.,NULL,766512
JOB-T03,1077110,Secondary School Teacher ABC,Compliance Management,"Ability to plan, organize, control, and lead activities that ensure compliance with relevant laws and standards.",3,Works without supervision and provides technical guidance when required on achieving full compliance with applicable rules and regulations in management and/or operations.,NULL,766603
JOB-T03,1077110,Secondary School Teacher ABC,Data Collection and Analysis,The ability and skill to determine and analyze trends from data that is collected to assist in compiling reports that will help in decision-making. ,3,Works without supervision and provides technical guidance when required on analyzing data trends for use in reports to help guide decision making.,NULL,766416
JOB-T03,1077110,Secondary School Teacher ABC,Policy and procedures,"The ability and skill to monitor, interpret and understand policies and procedures and ensure their alignment with organizational strategies and work objectives.",3,"Works without supervision and provides technical guidance when required on developing, monitoring, interpreting and understanding policies and procedures, while making sure they match organizational strategies and objectives.",NULL,766597
JOB-T03,1077110,Secondary School Teacher ABC,Presentation skills,"The ability to communicate and deliver information verbally in a clear, concise and compelling manner to other people.",3,"Communicates with other people without requiring supervision and provides technical guidance when required on speaking in a clear, concise and compelling manner.",NULL,766431
JOB-T03,1077110,Secondary School Teacher ABC,Assessment,The ability to assimilate and understand data and information from various sources in order to draw appropriate conclusions and make relevant recommendations.,3,Works without supervision and provides technical guidance when required on analyzing data from multiple sources to draw appropriate conclusions and make suitable recommendations.,NULL,766513
JOB-T03,1077110,Secondary School Teacher ABC,Data Control,"Ability and skill to acquire, organize, protect and process data in order to fulfill business objectives.",3,"Works without supervision and provides technical guidance when required on acquiring, organizing, protecting and processing data to fulfill business objectives.",NULL,766487
JOB-T03,1077110,Secondary School Teacher ABC,Performance Improvement,Ability to assess process performance and recommend improvements.,3,Works with full competence to assess process performance and recommend improvements. Typically works without supervision and may provide technical guidance.,NULL,766550
JOB-T03,1077110,Secondary School Teacher ABC,Project Management,"The ability and skill to plan and manage small project work assignments within desired cost, time and quality parameters.",3,"Works without supervision while providing technical guidance when required on managing projects and/or programs within desired cost, time and quality parameters.",NULL,766598
JOB-T03,1077110,Secondary School Teacher ABC,Reporting,"The ability and skill to create reports for various audiences as relevant, in a lucid and effective manner, keeping in mind the purpose of reports.",3,"Works without supervision and provides technical guidance when required on creating relevant, lucid and effective reports.",NULL,766494
JOB-T03,1077110,Secondary School Teacher ABC,Servant Leadership,"Ability and skill to remove constraints and blockers, and share power by putting the needs of the employees first and help people develop and perform as highly as possible.",3,"Works with full competence to remove constraints and blockers, and share power by putting the needs of the employees first and help people develop and perform as highly as possible.  Typically works without supervision and may provide technical guidance.",NULL,766524
